slide_id,has_5x_feature,has_20x_feature,low_coord_key,high_coord_key,low_coords_present,high_coords_present,has_both_coords,low_coords_shape,high_coords_shape,low_coords_dtype,high_coords_dtype,low_coords_count,high_coords_count,low_duplicate_count,high_duplicate_count,low_has_negative_coords,high_has_negative_coords,low_has_nan_or_inf,high_has_nan_or_inf,low_has_extreme_coords,high_has_extreme_coords,low_coord_min_x,low_coord_min_y,low_coord_max_x,low_coord_max_y,high_coord_min_x,high_coord_min_y,high_coord_max_x,high_coord_max_y,low_raw_coord_has_file,high_raw_coord_has_file,low_patch_level,high_patch_level,low_patch_size,high_patch_size,low_downsample_x,low_downsample_y,high_downsample_x,high_downsample_y
2462123-B2,True,True,coords,coords,True,True,True,"[122, 2]","[1715, 2]",int64,int64,122,1715,0,0,False,False,False,False,False,False,10561.0,6753.0,99544.0,57954.0,10561.0,6753.0,102616.0,61026.0,True,True,2.0,1.0,256.0,256.0,16.002027516292543,16.003137065637066,4.000072403431923,4.000060317268834
2462170-B4,True,True,coords,coords,True,True,True,"[117, 2]","[1562, 2]",int64,int64,117,1562,0,0,False,False,False,False,False,False,8080.0,8273.0,123541.0,57425.0,8080.0,8273.0,125589.0,62235.0,True,True,2.0,1.0,256.0,256.0,16.001082902177835,16.002957906712172,4.000030078806473,4.000056873116078
2462290-B2,True,True,coords,coords,True,True,True,"[286, 2]","[4236, 2]",int64,int64,286,4236,0,0,False,False,False,False,False,False,7744.0,5296.0,121288.0,67473.0,7744.0,5296.0,127432.0,67473.0,True,True,2.0,1.0,256.0,256.0,16.001783378908573,16.002926421404684,4.000089160995037,4.000104498667642
2462293-B3,True,True,coords,coords,True,True,True,"[127, 2]","[1781, 2]",int64,int64,127,1781,0,0,False,False,False,False,False,False,7856.0,6528.0,85904.0,70096.0,7856.0,6528.0,89712.0,73168.0,True,True,2.0,1.0,256.0,256.0,16.00016121231662,16.001162565394303,4.000040303079155,4.000096875756842
2462478-B2,True,True,coords,coords,True,True,True,"[152, 2]","[2029, 2]",int64,int64,152,2029,0,0,False,False,False,False,False,False,19184.0,208.0,155047.0,65792.0,10192.0,208.0,156087.0,68864.0,True,True,2.0,1.0,256.0,256.0,16.000816993464053,16.0,4.0,4.0
2462483-B,True,True,coords,coords,True,True,True,"[85, 2]","[1108, 2]",int64,int64,85,1108,0,0,False,False,False,False,False,False,8304.0,6672.0,121607.0,66769.0,8304.0,6672.0,123655.0,70865.0,True,True,2.0,1.0,256.0,256.0,16.001097828738718,16.000617283950618,4.000030493382936,4.000154320987654
2462598-B,True,True,coords,coords,True,True,True,"[195, 2]","[2744, 2]",int64,int64,195,2744,0,0,False,False,False,False,False,False,7936.0,10880.0,125712.0,79250.0,7936.0,6784.0,130784.0,81298.0,True,True,2.0,1.0,256.0,256.0,16.0,16.002004738472753,4.0,4.000136674259681
2462614-B3,True,True,coords,coords,True,True,True,"[225, 2]","[3283, 2]",int64,int64,225,3283,0,0,False,False,False,False,False,False,7920.0,10961.0,125972.0,66450.0,7920.0,208.0,134471.0,71931.0,True,True,2.0,1.0,256.0,256.0,16.000949667616336,16.002780536246277,4.0,4.000099290075957
2462637-B2,True,True,coords,coords,True,True,True,"[277, 2]","[3864, 2]",int64,int64,277,3864,0,0,False,False,False,False,False,False,7808.0,7104.0,132437.0,71265.0,7808.0,7104.0,134485.0,75361.0,True,True,2.0,1.0,256.0,256.0,16.00111719360965,16.002100840336134,4.000055856560353,4.000143225436838
2462830-B2,True,True,coords,coords,True,True,True,"[103, 2]","[1417, 2]",int64,int64,103,1417,0,0,False,False,False,False,False,False,9600.0,8977.0,149017.0,60483.0,9600.0,8977.0,152089.0,76825.0,True,True,2.0,1.0,256.0,256.0,16.001063418406805,16.002004738472753,4.000072502295906,4.000136674259681
2462830-B4,True,True,coords,coords,True,True,True,"[210, 2]","[3080, 2]",int64,int64,210,3080,0,0,False,False,False,False,False,False,7920.0,6688.0,125233.0,70896.0,7920.0,6688.0,129329.0,74992.0,True,True,2.0,1.0,256.0,256.0,16.0003488372093,16.00154261473197,4.000087209302325,4.0
2462840-B5,True,True,coords,coords,True,True,True,"[286, 2]","[4219, 2]",int64,int64,286,4219,0,0,False,False,False,False,False,False,12336.0,2192.0,149265.0,70937.0,12336.0,2192.0,153361.0,70937.0,True,True,2.0,1.0,256.0,256.0,16.000198393016564,16.002280935183425,4.000049598254141,4.0
2462885-B2,True,True,coords,coords,True,True,True,"[272, 2]","[3661, 2]",int64,int64,272,3661,0,0,False,False,False,False,False,False,14400.0,6416.0,158086.0,79064.0,10144.0,6416.0,158086.0,82052.0,True,True,2.0,1.0,256.0,256.0,16.00068924773533,16.002004738472753,4.000073846153846,4.000136674259681
2462920-B3,True,True,coords,coords,True,True,True,"[273, 2]","[3827, 2]",int64,int64,273,3827,0,0,False,False,False,False,False,False,7808.0,10944.0,126274.0,68577.0,7808.0,80.0,128322.0,71649.0,True,True,2.0,1.0,256.0,256.0,16.00048567265663,16.001459245361684,4.0,4.000156339569545
2462921-B,True,True,coords,coords,True,True,True,"[311, 2]","[4466, 2]",int64,int64,311,4466,0,0,False,False,False,False,False,False,7824.0,224.0,126758.0,70624.0,7824.0,224.0,127845.0,73696.0,True,True,2.0,1.0,256.0,256.0,16.000819960173363,16.001162565394303,4.000087850303084,4.000096875756842
2462987-B2,True,True,coords,coords,True,True,True,"[139, 2]","[2010, 2]",int64,int64,139,2010,0,0,False,False,False,False,False,False,46320.0,7984.0,156400.0,55888.0,0.0,7984.0,159472.0,70897.0,True,True,2.0,1.0,256.0,256.0,16.0,16.00066725978648,4.0,4.00016681494662
2463126-B2,True,True,coords,coords,True,True,True,"[144, 2]","[2101, 2]",int64,int64,144,2101,0,0,False,False,False,False,False,False,7696.0,6641.0,100033.0,58209.0,7696.0,6641.0,104129.0,59233.0,True,True,2.0,1.0,256.0,256.0,16.000429737859907,16.00316742081448,4.000107434464977,4.000113102980263
2463127-B3,True,True,coords,coords,True,True,True,"[261, 2]","[3791, 2]",int64,int64,261,3791,0,0,False,False,False,False,False,False,7696.0,3056.0,102290.0,75248.0,7696.0,3056.0,106386.0,78320.0,True,True,2.0,1.0,256.0,256.0,16.000561876668073,16.002004738472753,4.0,4.000136674259681
2463135-B,True,True,coords,coords,True,True,True,"[307, 2]","[4547, 2]",int64,int64,307,4547,0,0,False,False,False,False,False,False,7648.0,3552.0,110673.0,77568.0,7648.0,3552.0,113745.0,80640.0,True,True,2.0,1.0,256.0,256.0,16.00039494470774,16.002004738472753,4.000098736176935,4.000136674259681
2463187-B2,True,True,coords,coords,True,True,True,"[110, 2]","[1511, 2]",int64,int64,110,1511,0,0,False,False,False,False,False,False,12113.0,6561.0,97321.0,48689.0,12113.0,6561.0,99369.0,48689.0,True,True,2.0,1.0,256.0,256.0,16.00210399759543,16.00329489291598,4.000075134302566,4.0
2463351-B4,True,True,coords,coords,True,True,True,"[175, 2]","[2436, 2]",int64,int64,175,2436,0,0,False,False,False,False,False,False,7872.0,9729.0,118987.0,77170.0,7872.0,9729.0,122059.0,79945.0,True,True,2.0,1.0,256.0,256.0,16.00159803318992,16.002004738472753,4.000030728574502,4.000136674259681
2463370-B2,True,True,coords,coords,True,True,True,"[192, 2]","[2726, 2]",int64,int64,192,2726,0,0,False,False,False,False,False,False,7696.0,6368.0,116906.0,56848.0,7696.0,6368.0,119978.0,58896.0,True,True,2.0,1.0,256.0,256.0,16.001479654747225,16.001170960187352,4.0,4.000058544581699
2463379-B4,True,True,coords,coords,True,True,True,"[153, 2]","[2079, 2]",int64,int64,153,2079,0,0,False,False,False,False,False,False,7824.0,6192.0,107351.0,57409.0,7824.0,6192.0,112092.0,58433.0,True,True,2.0,1.0,256.0,256.0,16.00186170212766,16.002139291656764,4.0000664827311105,4.000059417706477
2463404-B2,True,True,coords,coords,True,True,True,"[217, 2]","[2935, 2]",int64,int64,217,2935,0,0,False,False,False,False,False,False,9504.0,4176.0,148251.0,76684.0,9504.0,4176.0,149387.0,76684.0,True,True,2.0,1.0,256.0,256.0,16.001281366791243,16.002899671370578,4.0,4.0001449625513406
2463643-B,True,True,coords,coords,True,True,True,"[241, 2]","[3440, 2]",int64,int64,241,3440,0,0,False,False,False,False,False,False,7648.0,8208.0,150277.0,63072.0,7648.0,8208.0,158456.0,66405.0,True,True,2.0,1.0,256.0,256.0,16.000906344410875,16.001494449188726,4.000025174966014,4.000160111010301
2463647-B2,True,True,coords,coords,True,True,True,"[204, 2]","[2934, 2]",int64,int64,204,2934,0,0,False,False,False,False,False,False,7744.0,7056.0,112278.0,58563.0,7744.0,7056.0,114326.0,59587.0,True,True,2.0,1.0,256.0,256.0,16.00144584647739,16.001170960187352,4.000098573963331,4.000058544581699
2463656-B2,True,True,coords,coords,True,True,True,"[157, 2]","[2076, 2]",int64,int64,157,2076,0,0,False,False,False,False,False,False,7856.0,11650.0,109697.0,60802.0,7856.0,9233.0,118305.0,64474.0,True,True,2.0,1.0,256.0,256.0,16.00026816840976,16.00308846238694,4.00006704210244,4.000110283981252
2463720-B7,True,True,coords,coords,True,True,True,"[207, 2]","[3024, 2]",int64,int64,207,3024,0,0,False,False,False,False,False,False,9200.0,6704.0,140336.0,62736.0,9200.0,6704.0,142384.0,66832.0,True,True,2.0,1.0,256.0,256.0,16.0,16.0004235493435,4.0,4.000105887335875
2464404-B5,True,True,coords,coords,True,True,True,"[207, 2]","[2935, 2]",int64,int64,207,2935,0,0,False,False,False,False,False,False,7712.0,6528.0,124018.0,62353.0,7712.0,6528.0,124018.0,65425.0,True,True,2.0,1.0,256.0,256.0,16.00048567265663,16.001851851851853,4.0,4.0
2464438-B5,True,True,coords,coords,True,True,True,"[98, 2]","[1244, 2]",int64,int64,98,1244,0,0,False,False,False,False,False,False,7728.0,6608.0,81538.0,56352.0,7728.0,6608.0,84610.0,58400.0,True,True,2.0,1.0,256.0,256.0,16.000695531211964,16.001673840267813,4.0,4.000179329308387
2464443-B,True,True,coords,coords,True,True,True,"[254, 2]","[3687, 2]",int64,int64,254,3687,0,0,False,False,False,False,False,False,7792.0,6464.0,113937.0,70672.0,7792.0,6464.0,118033.0,71696.0,True,True,2.0,1.0,256.0,256.0,16.000382311711483,16.00058696928194,4.000095577927871,4.000146742320485
2464548-B,True,True,coords,coords,True,True,True,"[337, 2]","[4999, 2]",int64,int64,337,4999,0,0,False,False,False,False,False,False,20176.0,240.0,150484.0,78865.0,20176.0,240.0,152532.0,81937.0,True,True,2.0,1.0,256.0,256.0,16.000706713780918,16.00154261473197,4.000075717422579,4.0
2464690-B2,True,True,coords,coords,True,True,True,"[244, 2]","[3451, 2]",int64,int64,244,3451,0,0,False,False,False,False,False,False,8016.0,2512.0,137808.0,73152.0,8016.0,2512.0,139856.0,75106.0,True,True,2.0,1.0,256.0,256.0,16.0,16.00058696928194,4.0,4.000146742320485
2464812-B3,True,True,coords,coords,True,True,True,"[254, 2]","[3682, 2]",int64,int64,254,3682,0,0,False,False,False,False,False,False,7920.0,208.0,146901.0,68752.0,7920.0,208.0,147925.0,71824.0,True,True,2.0,1.0,256.0,256.0,16.000966183574878,16.0,4.00002683699211,4.0
2464817-B,True,True,coords,coords,True,True,True,"[265, 2]","[3919, 2]",int64,int64,265,3919,0,0,False,False,False,False,False,False,7856.0,22274.0,130833.0,79219.0,7856.0,6800.0,132881.0,79219.0,True,True,2.0,1.0,256.0,256.0,16.0003488372093,16.002004738472753,4.000087209302325,4.000136674259681
2464879-B2,True,True,coords,coords,True,True,True,"[268, 2]","[3955, 2]",int64,int64,268,3955,0,0,False,False,False,False,False,False,9824.0,4992.0,149064.0,66800.0,9824.0,5360.0,149064.0,69872.0,True,True,2.0,1.0,256.0,256.0,16.001317523056652,16.000600240096038,4.000025335056117,4.000150060024009
2464929-B,True,True,coords,coords,True,True,True,"[291, 2]","[4295, 2]",int64,int64,291,4295,0,0,False,False,False,False,False,False,7792.0,4272.0,144672.0,78097.0,7792.0,4272.0,148768.0,79121.0,True,True,2.0,1.0,256.0,256.0,16.0,16.002004738472753,4.0,4.000136674259681
2464943-B2,True,True,coords,coords,True,True,True,"[323, 2]","[4501, 2]",int64,int64,323,4501,0,0,False,False,False,False,False,False,10784.0,6336.0,176251.0,62932.0,10784.0,224.0,179323.0,67028.0,True,True,2.0,1.0,256.0,256.0,16.001243339253996,16.00128783000644,4.000044402015852,4.000107313408811
2465202-B3,True,True,coords,coords,True,True,True,"[269, 2]","[3876, 2]",int64,int64,269,3876,0,0,False,False,False,False,False,False,7888.0,7457.0,162262.0,53249.0,7888.0,7457.0,164310.0,56321.0,True,True,2.0,1.0,256.0,256.0,16.001063418406805,16.00369822485207,4.000072502295906,4.000184877056757
2465243-B2,True,True,coords,coords,True,True,True,"[348, 2]","[5204, 2]",int64,int64,348,5204,0,0,False,False,False,False,False,False,8272.0,0.0,150500.0,68944.0,8272.0,0.0,154596.0,70992.0,True,True,2.0,1.0,256.0,256.0,16.000506072874494,16.00099542106311,4.000025303003467,4.000049768576121
2465263-B2,True,True,coords,coords,True,True,True,"[163, 2]","[2322, 2]",int64,int64,163,2322,0,0,False,False,False,False,False,False,8384.0,5184.0,108916.0,58432.0,8384.0,5184.0,113012.0,61504.0,True,True,2.0,1.0,256.0,256.0,16.00092924465684,16.0,4.000099558623436,4.0
2465339-B2,True,True,coords,coords,True,True,True,"[427, 2]","[6254, 2]",int64,int64,427,6254,0,0,False,False,False,False,False,False,8784.0,6768.0,162036.0,75096.0,8784.0,6768.0,163060.0,79192.0,True,True,2.0,1.0,256.0,256.0,16.000777151738877,16.002004738472753,4.0,4.000136674259681
2465367-B3,True,True,coords,coords,True,True,True,"[125, 2]","[1600, 2]",int64,int64,125,1600,0,0,False,False,False,False,False,False,7808.0,9888.0,113654.0,59728.0,7808.0,9888.0,116726.0,61904.0,True,True,2.0,1.0,256.0,256.0,16.00092924465684,16.0,4.000099558623436,4.0
2465396-B2,True,True,coords,coords,True,True,True,"[165, 2]","[2463, 2]",int64,int64,165,2463,0,0,False,False,False,False,False,False,7824.0,12496.0,114867.0,65744.0,7824.0,4048.0,126053.0,72992.0,True,True,2.0,1.0,256.0,256.0,16.00075978219577,16.0,4.0000633131786385,4.0
