proposal_radius,nms_radius,strategy,param_name,param_value,empty_anchor_ratio,median_raw_child_count,median_used_child_count,mean_used_child_count,p75_used_child_count,p90_used_child_count,mean_fallback_ratio,median_fallback_ratio,nearest_topm_distance_median,used_child_distance_mean,anchor_rows
1024.0,1024.0,bbox_containment,bbox_expand,8.0,0.047036082474226804,9.0,9.0,6.918492268041237,9.0,9.0,0.0,0.0,1448.1546878700494,1109.6917333740764,3104
1024.0,1024.0,bbox_then_nearest,bbox_expand,8.0,0.0,9.0,16.0,16.0,16.0,16.0,0.5675942332474226,0.4375,1448.1546878700494,1925.6752140808276,3104
1024.0,1024.0,bbox_containment,bbox_expand,10.0,0.04639175257731959,9.0,9.0,6.929768041237113,9.0,9.0,0.0,0.0,1448.1546878700494,1110.9462405231004,3104
1024.0,1024.0,bbox_then_nearest,bbox_expand,10.0,0.0,9.0,16.0,16.0,16.0,16.0,0.5668894974226805,0.4375,1448.1546878700494,1925.6752140808276,3104
1024.0,1024.0,center_radius,high_radius,512.0,0.22197164948453607,1.0,1.0,0.7780283505154639,1.0,1.0,0.0,0.0,1448.1546878700494,0.7884560433808384,3104
1024.0,1024.0,center_radius,high_radius,1024.0,0.07957474226804123,5.0,5.0,3.864368556701031,5.0,5.0,0.0,0.0,1448.1546878700494,830.0876033529568,3104
1024.0,1024.0,center_radius,high_radius,2048.0,0.023195876288659795,12.0,12.0,9.95811855670103,13.0,13.0,0.0,0.0,1448.1546878700494,1410.6167849904693,3104
1024.0,1024.0,center_radius,high_radius,4096.0,0.00032216494845360824,40.0,16.0,15.52319587628866,16.0,16.0,0.0,0.0,1448.1546878700494,1873.3980435826636,3104
1024.0,1024.0,center_radius,high_radius,8192.0,0.0,133.0,16.0,15.998711340206185,16.0,16.0,0.0,0.0,1448.1546878700494,1924.8954324254141,3104
2048.0,512.0,bbox_containment,bbox_expand,2.0,0.22293814432989692,1.0,1.0,0.7799613402061856,1.0,1.0,0.0,0.0,1448.1546878700494,1.569532386052165,3104
2048.0,512.0,bbox_then_nearest,bbox_expand,2.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9512524162371134,0.9375,1448.1546878700494,1925.5443144764874,3104
2048.0,512.0,bbox_containment,bbox_expand,3.0,0.22197164948453607,1.0,1.0,0.7873711340206185,1.0,1.0,0.0,0.0,1448.1546878700494,3.419703346052274,3104
