slide_id,proposal_radius,nms_radius,anchor_rank,strategy,param_name,param_value,bbox_expand,high_radius,anchor_score,anchor_center_x,anchor_center_y,original_anchor_bbox_area,original_bbox_width,original_bbox_height,expanded_bbox_area,bbox_width,bbox_height,neighbor_count,top_class_name,top_concept,nearest_high_min_distance,nearest_high_median_topm_distance,nearest_high_mean_topm_distance,high_patch_density_in_bbox,raw_child_count,used_child_count,empty_child_flag,fallback_child_count,fallback_ratio,used_child_distance_mean,used_child_distance_min,used_child_distance_max,raw_child_distance_mean,raw_child_distance_median
2460239-B2,512.0,512.0,3,bbox_containment,bbox_expand,3.0,3.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,589824.0,768.0,768.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,0,True,0,0.0,,,,,
2460239-B2,512.0,512.0,3,bbox_then_nearest,bbox_expand,3.0,3.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,589824.0,768.0,768.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,16,False,16,1.0,2173.8357978549307,1024.0,2896.309375740099,,
2460239-B2,512.0,512.0,3,bbox_containment,bbox_expand,4.0,4.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,1048576.0,1024.0,1024.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,0,True,0,0.0,,,,,
2460239-B2,512.0,512.0,3,bbox_then_nearest,bbox_expand,4.0,4.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,1048576.0,1024.0,1024.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,16,False,16,1.0,2173.8357978549307,1024.0,2896.309375740099,,
2460239-B2,512.0,512.0,3,bbox_containment,bbox_expand,6.0,6.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,2359296.0,1536.0,1536.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,0,True,0,0.0,,,,,
2460239-B2,512.0,512.0,3,bbox_then_nearest,bbox_expand,6.0,6.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,2359296.0,1536.0,1536.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,16,False,16,1.0,2173.8357978549307,1024.0,2896.309375740099,,
2460239-B2,512.0,512.0,3,bbox_containment,bbox_expand,8.0,8.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,4194304.0,2048.0,2048.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,7.152557373046875e-07,3,3,False,0,0.0,1306.7697919133661,1024.0,1448.1546878700494,1306.7697919133664,1448.1546878700494
2460239-B2,512.0,512.0,3,bbox_then_nearest,bbox_expand,8.0,8.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,4194304.0,2048.0,2048.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,7.152557373046875e-07,3,16,False,13,0.8125,2173.8357978549307,1024.0,2896.309375740099,1306.7697919133664,1448.1546878700494
2460239-B2,512.0,512.0,3,bbox_containment,bbox_expand,10.0,10.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,6553600.0,2560.0,2560.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,4.57763671875e-07,3,3,False,0,0.0,1306.7697919133661,1024.0,1448.1546878700494,1306.7697919133664,1448.1546878700494
2460239-B2,512.0,512.0,3,bbox_then_nearest,bbox_expand,10.0,10.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,6553600.0,2560.0,2560.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,4.57763671875e-07,3,16,False,13,0.8125,2173.8357978549307,1024.0,2896.309375740099,1306.7697919133664,1448.1546878700494
2460239-B2,512.0,512.0,3,center_radius,high_radius,512.0,,512.0,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,,0,0,True,0,0.0,,,,,
2460239-B2,512.0,512.0,3,center_radius,high_radius,1024.0,,1024.0,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,,1,1,False,0,0.0,1024.0,1024.0,1024.0,1024.0,1024.0
2460239-B2,512.0,512.0,3,center_radius,high_radius,2048.0,,2048.0,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,,6,6,False,0,0.0,1677.384895956683,1024.0,2048.0,1677.384895956683,1748.0773439350246
2460239-B2,512.0,512.0,3,center_radius,high_radius,4096.0,,4096.0,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,,37,16,False,0,0.0,2173.8357978549307,1024.0,2896.309375740099,2904.7921875643665,3072.0
2460239-B2,512.0,512.0,3,center_radius,high_radius,8192.0,,8192.0,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,,133,16,False,0,0.0,2173.8357978549307,1024.0,2896.309375740099,5367.117605242838,5514.408762505732
