variant,fold,condition_name,condition_value,n,gate_mean,gate_std
prarc_v1_g10,2,visual_concept_conflict,0.0,174,0.9880924677026683,5.555421194635784e-05
prarc_v1_g10,2,visual_concept_conflict,1.0,20,0.98809654712677,6.9362098504404e-05
prarc_v1_g10,2,low_high_sign_agreement,0.0,50,0.9879991865158081,1.9005447567954878e-05
prarc_v1_g10,2,low_high_sign_agreement,1.0,144,0.9881254235903422,1.2920571850025113e-05
prarc_v1_g10,3,correct,0.0,22,0.9879722811959006,3.6336750438646e-05
prarc_v1_g10,3,correct,1.0,171,0.9879840943548415,3.497540357382144e-05
prarc_v1_g10,3,visual_concept_conflict,0.0,178,0.9879849569851094,3.555596424322272e-05
prarc_v1_g10,3,visual_concept_conflict,1.0,15,0.9879565318425496,1.7773646227153692e-05
prarc_v1_g10,3,low_high_sign_agreement,0.0,81,0.9879418788132844,7.397509424918658e-06
prarc_v1_g10,3,low_high_sign_agreement,1.0,112,0.9880123047956398,5.4926739888486246e-06
prarc_v1_g10,4,correct,0.0,25,0.9883300638198853,4.5251062716019516e-05
prarc_v1_g10,4,correct,1.0,168,0.98835453497512,4.122375781418351e-05
prarc_v1_g10,4,visual_concept_conflict,0.0,152,0.9883625832827467,3.6038369592576375e-05
prarc_v1_g10,4,visual_concept_conflict,1.0,41,0.9883097759107264,3.8969968038088206e-05
prarc_v1_g10,4,low_high_sign_agreement,0.0,68,0.9882939203697092,4.984873760312767e-06
prarc_v1_g10,4,low_high_sign_agreement,1.0,125,0.9883826150894165,3.5429968634591282e-06
