experiment,train_dir,fold,test_auc,test_acc,test_f1,val_auc,val_acc,balanced_acc,sensitivity,specificity,pr_auc
Concept-12 PEPS topk=3 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.1_s1,3,0.972852274062757,0.9432989690721648,0.937077989090373,0.9648055356716774,0.932642487046632,0.935538841226936,0.9104477611940298,0.9606299212598424,0.9719682130840304
Concept-12 PEPS topk=3 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.1_s1,4,0.9619422572178478,0.9430051813471504,0.9359635628751546,0.9597947983774756,0.9481865284974094,0.931221665473634,0.8939393939393939,0.968503937007874,0.9150305197990186
Concept-12 PEPS topk=3 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.1_s1,5,0.966595084705321,0.932642487046632,0.9248914833108816,0.9847301136363636,0.9536082474226804,0.9233476497256023,0.8939393939393939,0.952755905511811,0.9405350470668454
Concept-12 PEPS topk=5 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.1_s1,1,0.979876893939394,0.9329896907216496,0.9261601522471088,0.9692234848484848,0.9278350515463918,0.9308712121212122,0.9242424242424242,0.9375,0.9584830746264827
Concept-12 PEPS topk=5 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.1_s1,2,0.9589251893939394,0.9072164948453608,0.8994239631336405,0.9768480432483252,0.9587628865979382,0.9113399621212122,0.9242424242424242,0.8984375,0.9316785568864936
Concept-12 PEPS topk=5 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.1_s1,3,0.9788459278411094,0.9536082474226804,0.94774176169525,0.9710093056549748,0.932642487046632,0.9398871782818192,0.8955223880597015,0.984251968503937,0.973398015055392
Concept-12 PEPS topk=5 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.1_s1,4,0.9615843474111192,0.9481865284974094,0.9420072115384616,0.9613457408733,0.9481865284974094,0.9387974230493916,0.9090909090909092,0.968503937007874,0.9187926803476594
Concept-12 PEPS topk=5 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.1_s1,5,0.9682653304700548,0.9378238341968912,0.9304086538461538,0.9783972537878788,0.9432989690721648,0.9272846575996182,0.8939393939393939,0.9606299212598424,0.9264581488933036
Concept-12 PEPS topk=3 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.07_s1,1,0.9781013257575758,0.9329896907216496,0.9261601522471088,0.9694602272727272,0.9278350515463918,0.9308712121212122,0.9242424242424242,0.9375,0.9544061478409918
Concept-12 PEPS topk=3 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.07_s1,2,0.9608191287878788,0.9278350515463918,0.9212753623188406,0.977553178986955,0.963917525773196,0.9306344696969696,0.9393939393939394,0.921875,0.9353720696792156
