slide_id,status,coord_mode,scale_ratio,low_coord_key,high_coord_key,low_patch_count,high_patch_count,low_coords_shape,high_coords_shape,low_features_shape,high_features_shape,low_min_x,low_min_y,low_max_x,low_max_y,low_span_x,low_span_y,high_min_x,high_min_y,high_max_x,high_max_y,high_span_x,high_span_y,low_patch_level,high_patch_level,low_patch_size_attr,high_patch_size_attr,low_has_nan_or_inf,high_has_nan_or_inf,low_duplicate_count,high_duplicate_count,low_duplicate_ratio,high_duplicate_ratio,range_iou,span_ratio_x,span_ratio_y,min_delta_x,min_delta_y,same_coord_system_heuristic,empty_match_count,warning_count,warnings,child_count_mean,child_count_std,child_count_min,child_count_max,child_count_median,child_count_p25,child_count_p75,child_count_p90,child_count_p95,child_count_nonzero_mean,empty_match_ratio
2460641-B2,ok,top_left,4.0,coords,coords,242,3511,"[242, 2]","[3511, 2]","[242, 512]","[3511, 512]",7760.0,17282.0,124614.0,78930.0,116854.0,61648.0,7760.0,17282.0,127547.0,82818.0,119787.0,65536.0,,,,,False,False,0,0,0.0,0.0,0.917641309254917,1.0250996970578672,1.0630677394238255,0.0,0.0,True,241,0,,0.004132231404958678,0.06414948221595053,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9958677685950413
2460641-B2,ok,top_left,0.5,coords,coords,242,3511,"[242, 2]","[3511, 2]","[242, 512]","[3511, 512]",7760.0,17282.0,124614.0,78930.0,116854.0,61648.0,7760.0,17282.0,127547.0,82818.0,119787.0,65536.0,,,,,False,False,0,0,0.0,0.0,0.917641309254917,1.0250996970578672,1.0630677394238255,0.0,0.0,True,242,0,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460641-B2,ok,top_left,0.25,coords,coords,242,3511,"[242, 2]","[3511, 2]","[242, 512]","[3511, 512]",7760.0,17282.0,124614.0,78930.0,116854.0,61648.0,7760.0,17282.0,127547.0,82818.0,119787.0,65536.0,,,,,False,False,0,0,0.0,0.0,0.917641309254917,1.0250996970578672,1.0630677394238255,0.0,0.0,True,242,0,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460641-B2,ok,center,1.0,coords,coords,242,3511,"[242, 2]","[3511, 2]","[242, 512]","[3511, 512]",7760.0,17282.0,124614.0,78930.0,116854.0,61648.0,7760.0,17282.0,127547.0,82818.0,119787.0,65536.0,,,,,False,False,0,0,0.0,0.0,0.917641309254917,1.0250996970578672,1.0630677394238255,0.0,0.0,True,39,0,,0.8388429752066116,0.3676757241825079,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.16115702479338842
2460641-B2,ok,center,2.0,coords,coords,242,3511,"[242, 2]","[3511, 2]","[242, 512]","[3511, 512]",7760.0,17282.0,124614.0,78930.0,116854.0,61648.0,7760.0,17282.0,127547.0,82818.0,119787.0,65536.0,,,,,False,False,0,0,0.0,0.0,0.917641309254917,1.0250996970578672,1.0630677394238255,0.0,0.0,True,242,0,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460641-B2,ok,center,4.0,coords,coords,242,3511,"[242, 2]","[3511, 2]","[242, 512]","[3511, 512]",7760.0,17282.0,124614.0,78930.0,116854.0,61648.0,7760.0,17282.0,127547.0,82818.0,119787.0,65536.0,,,,,False,False,0,0,0.0,0.0,0.917641309254917,1.0250996970578672,1.0630677394238255,0.0,0.0,True,241,0,,0.004132231404958678,0.06414948221595053,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9958677685950413
2460641-B2,ok,center,0.5,coords,coords,242,3511,"[242, 2]","[3511, 2]","[242, 512]","[3511, 512]",7760.0,17282.0,124614.0,78930.0,116854.0,61648.0,7760.0,17282.0,127547.0,82818.0,119787.0,65536.0,,,,,False,False,0,0,0.0,0.0,0.917641309254917,1.0250996970578672,1.0630677394238255,0.0,0.0,True,242,0,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460641-B2,ok,center,0.25,coords,coords,242,3511,"[242, 2]","[3511, 2]","[242, 512]","[3511, 512]",7760.0,17282.0,124614.0,78930.0,116854.0,61648.0,7760.0,17282.0,127547.0,82818.0,119787.0,65536.0,,,,,False,False,0,0,0.0,0.0,0.917641309254917,1.0250996970578672,1.0630677394238255,0.0,0.0,True,242,0,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460960-B,ok,top_left,1.0,coords,coords,343,4901,"[343, 2]","[4901, 2]","[343, 512]","[4901, 512]",8304.0,7072.0,141654.0,82616.0,133350.0,75544.0,8304.0,7072.0,146774.0,83640.0,138470.0,76568.0,,,,,False,False,0,0,0.0,0.0,0.9501452493980648,1.038395200599925,1.0135550142963041,0.0,0.0,True,61,0,,0.8221574344023324,0.38238016091228755,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.17784256559766765
2460960-B,ok,top_left,2.0,coords,coords,343,4901,"[343, 2]","[4901, 2]","[343, 512]","[4901, 512]",8304.0,7072.0,141654.0,82616.0,133350.0,75544.0,8304.0,7072.0,146774.0,83640.0,138470.0,76568.0,,,,,False,False,0,0,0.0,0.0,0.9501452493980648,1.038395200599925,1.0135550142963041,0.0,0.0,True,343,0,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
