slide_id,fold,raw_attention_shape,a_low_proto_patch_shape,attention_dim_judgement,warning,proto_attention_row_sum_min,proto_attention_row_sum_max,proto_attention_cosine_mean,proto_attention_cosine_median,proto_attention_cosine_max,proto_top1_unique_ratio,proto_top3_overlap_mean,proto_top5_overlap_mean,proto_top1_pairwise_dist_mean,proto_top1_pairwise_dist_median
2469927-B2,0,"(1, 1, 16, 196)","(16, 196)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.000000238418579,0.9611175995982291,0.986942647065473,0.9999246877779877,0.0625,1.0,1.0,0.0,0.0
2471237-B2,0,"(1, 1, 16, 463)","(16, 463)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9761142723907191,0.9902573842329274,0.9999219083036016,0.0625,1.0,1.0,0.0,0.0
2471452-B2,0,"(1, 1, 16, 132)","(16, 132)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9823059916483385,0.9934334306920496,0.9999424607332346,0.0625,1.0,1.0,0.0,0.0
2471884-B2,0,"(1, 1, 16, 140)","(16, 140)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.976547018129694,0.9914914157217583,0.9999138166149308,0.0625,1.0,1.0,0.0,0.0
2471957-B,0,"(1, 1, 16, 85)","(16, 85)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998211860657,1.0000001192092896,0.9852911608541964,0.9942448699621739,0.9998644164861177,0.125,0.9222222222222222,1.0,11626.212823376512,0.0
2471959-B2,0,"(1, 1, 16, 167)","(16, 167)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998211860657,1.0000001192092896,0.9746532722505967,0.9903065826768666,0.9999619814372904,0.0625,1.0,1.0,0.0,0.0
2471963-B,0,"(1, 1, 16, 280)","(16, 280)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.000000238418579,0.9785053137282753,0.9930449499967238,0.9999962018275946,0.0625,1.0,1.0,0.0,0.0
2473212-B4,0,"(1, 1, 16, 187)","(16, 187)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.000000238418579,0.9703761413149479,0.988383531716157,0.9998656373348761,0.0625,1.0,1.0,0.0,0.0
2473218-B3,0,"(1, 1, 16, 255)","(16, 255)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9724122536316754,0.9888995838308339,0.999840682674977,0.0625,0.9583333333333334,0.9350000000000002,0.0,0.0
2473534-B2,0,"(1, 1, 16, 228)","(16, 228)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.000000238418579,0.979184779536848,0.9918357038539662,0.9998905192112757,0.0625,1.0,0.9016666666666668,0.0,0.0
