slide_id,fold,prototype_id,anchor_rank,anchor_score,coord_x,coord_y
2461671-B2,0,2,3,0.047209009528160095,20064.0,55888.0
2461671-B2,0,3,1,0.055745650082826614,24160.0,68176.0
2461671-B2,0,3,2,0.03506645932793617,40544.0,51792.0
2461671-B2,0,3,3,0.03237703815102577,20064.0,55888.0
2461671-B2,0,4,1,0.06632065027952194,24160.0,68176.0
2461671-B2,0,4,2,0.040850404649972916,40544.0,51792.0
2461671-B2,0,4,3,0.037817664444446564,20064.0,55888.0
2461671-B2,0,5,1,0.0692535862326622,24160.0,68176.0
2461671-B2,0,5,2,0.04282146692276001,40544.0,51792.0
2461671-B2,0,5,3,0.03901326283812523,20064.0,55888.0
2461671-B2,0,6,1,0.08111356943845749,24160.0,68176.0
2461671-B2,0,6,2,0.04830896854400635,40544.0,51792.0
2461671-B2,0,6,3,0.043680135160684586,20064.0,55888.0
2461671-B2,0,7,1,0.027769895270466805,24160.0,68176.0
2461671-B2,0,7,2,0.02050638571381569,40544.0,51792.0
2461671-B2,0,7,3,0.01952865719795227,20064.0,55888.0
2461671-B2,0,8,1,0.07944000512361526,24160.0,68176.0
2461671-B2,0,8,2,0.04701982066035271,40544.0,51792.0
2461671-B2,0,8,3,0.04254849627614021,20064.0,55888.0
2461671-B2,0,9,1,0.07234092801809311,24160.0,68176.0
2461671-B2,0,9,2,0.04310527816414833,40544.0,51792.0
2461671-B2,0,9,3,0.039566297084093094,20064.0,55888.0
2461671-B2,0,10,1,0.02780146338045597,24160.0,68176.0
2461671-B2,0,10,2,0.020506519824266434,40544.0,51792.0
2461671-B2,0,10,3,0.019579986110329628,20064.0,55888.0
2461671-B2,0,11,1,0.08367612957954407,24160.0,68176.0
2461671-B2,0,11,2,0.04924849793314934,40544.0,51792.0
2461671-B2,0,11,3,0.04516551271080971,20064.0,55888.0
2461671-B2,0,12,1,0.05650653317570686,24160.0,68176.0
2461671-B2,0,12,2,0.03726077824831009,40544.0,51792.0
2461671-B2,0,12,3,0.034377571195364,20064.0,55888.0
2461671-B2,0,13,1,0.07768034934997559,24160.0,68176.0
2461671-B2,0,13,2,0.04694480821490288,40544.0,51792.0
2461671-B2,0,13,3,0.042295776307582855,20064.0,55888.0
2461671-B2,0,14,1,0.0349322073161602,24160.0,68176.0
2461671-B2,0,14,2,0.02443074993789196,40544.0,51792.0
2461671-B2,0,14,3,0.023260317742824554,20064.0,55888.0
2461671-B2,0,15,1,0.07009249180555344,24160.0,68176.0
2461671-B2,0,15,2,0.042739395052194595,40544.0,51792.0
2461671-B2,0,15,3,0.03901779279112816,20064.0,55888.0
2461677-B2,0,0,1,0.11494015157222748,66786.0,14689.0
2461677-B2,0,0,2,0.0865500196814537,123110.0,14961.0
2461677-B2,0,0,3,0.056007981300354004,70882.0,18785.0
2461677-B2,0,1,1,0.14125801622867584,66786.0,14689.0
2461677-B2,0,1,2,0.10310665518045425,123110.0,14961.0
2461677-B2,0,1,3,0.06329794973134995,70882.0,18785.0
2461677-B2,0,2,1,0.26128146052360535,66786.0,14689.0
2461677-B2,0,2,2,0.1602911651134491,123110.0,14961.0
2461677-B2,0,2,3,0.07320648431777954,70882.0,18785.0
2461677-B2,0,3,1,0.1749570220708847,66786.0,14689.0
2461677-B2,0,3,2,0.12117919325828552,123110.0,14961.0
2461677-B2,0,3,3,0.06870243698358536,70882.0,18785.0
2461677-B2,0,4,1,0.20673370361328125,66786.0,14689.0
2461677-B2,0,4,2,0.13617709279060364,123110.0,14961.0
2461677-B2,0,4,3,0.07106192409992218,70882.0,18785.0
2461677-B2,0,5,1,0.2168198674917221,66786.0,14689.0
2461677-B2,0,5,2,0.14340072870254517,123110.0,14961.0
2461677-B2,0,5,3,0.07192369550466537,70882.0,18785.0
2461677-B2,0,6,1,0.2367832213640213,66786.0,14689.0
2461677-B2,0,6,2,0.15596717596054077,123110.0,14961.0
2461677-B2,0,6,3,0.07539400458335876,70882.0,18785.0
2461677-B2,0,7,1,0.10707136243581772,66786.0,14689.0
2461677-B2,0,7,2,0.08164165169000626,123110.0,14961.0
2461677-B2,0,7,3,0.054934900254011154,70882.0,18785.0
2461677-B2,0,8,1,0.23171889781951904,66786.0,14689.0
2461677-B2,0,8,2,0.14846238493919373,123110.0,14961.0
2461677-B2,0,8,3,0.07283567637205124,70882.0,18785.0
2461677-B2,0,9,1,0.21772199869155884,66786.0,14689.0
2461677-B2,0,9,2,0.14382995665073395,123110.0,14961.0
2461677-B2,0,9,3,0.07385033369064331,70882.0,18785.0
2461677-B2,0,10,1,0.10484694689512253,66786.0,14689.0
2461677-B2,0,10,2,0.0800311416387558,123110.0,14961.0
2461677-B2,0,10,3,0.05353260412812233,70882.0,18785.0
2461677-B2,0,11,1,0.24480020999908447,66786.0,14689.0
2461677-B2,0,11,2,0.1559956818819046,123110.0,14961.0
2461677-B2,0,11,3,0.0729127749800682,70882.0,18785.0
2461677-B2,0,12,1,0.1869661509990692,66786.0,14689.0
2461677-B2,0,12,2,0.12527447938919067,123110.0,14961.0
2461677-B2,0,12,3,0.06800732016563416,70882.0,18785.0
2461677-B2,0,13,1,0.23286813497543335,66786.0,14689.0
2461677-B2,0,13,2,0.1517927348613739,123110.0,14961.0
2461677-B2,0,13,3,0.07290812581777573,70882.0,18785.0
2461677-B2,0,14,1,0.1255684792995453,66786.0,14689.0
2461677-B2,0,14,2,0.09382212162017822,123110.0,14961.0
2461677-B2,0,14,3,0.05928543955087662,70882.0,18785.0
2461677-B2,0,15,1,0.21124103665351868,66786.0,14689.0
2461677-B2,0,15,2,0.1399378627538681,123110.0,14961.0
2461677-B2,0,15,3,0.07125449180603027,70882.0,18785.0
2461700-B2,0,0,1,0.09794139862060547,91431.0,33282.0
2461700-B2,0,0,2,0.08324755728244781,87335.0,25090.0
2461700-B2,0,0,3,0.06789754331111908,91431.0,25090.0
2461700-B2,0,1,1,0.12140175700187683,91431.0,33282.0
2461700-B2,0,1,2,0.09836746007204056,87335.0,25090.0
2461700-B2,0,1,3,0.07814198732376099,91431.0,25090.0
2461700-B2,0,2,1,0.20268334448337555,91431.0,33282.0
2461700-B2,0,2,2,0.15335838496685028,87335.0,25090.0
2461700-B2,0,2,3,0.10496698319911957,91431.0,25090.0
