slide_id,coord_mode,scale_ratio,low_patch_count,high_patch_count,child_count_mean,child_count_std,child_count_min,child_count_max,child_count_median,child_count_p25,child_count_p75,child_count_p90,child_count_p95,child_count_nonzero_mean,empty_match_ratio
2462598-B,center,0.5,195,2744,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462598-B,center,0.25,195,2744,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462637-B2,top_left,1.0,277,3864,0.779783393501805,0.4143926311128301,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.22021660649819494
2462637-B2,top_left,2.0,277,3864,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462637-B2,top_left,4.0,277,3864,0.0036101083032490976,0.05997562355897527,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9963898916967509
2462637-B2,top_left,0.5,277,3864,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462637-B2,top_left,0.25,277,3864,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462637-B2,center,1.0,277,3864,0.779783393501805,0.4143926311128301,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.22021660649819494
2462637-B2,center,2.0,277,3864,0.0036101083032490976,0.05997562355897527,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9963898916967509
2462637-B2,center,4.0,277,3864,0.0036101083032490976,0.05997562355897527,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9963898916967509
2462637-B2,center,0.5,277,3864,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462637-B2,center,0.25,277,3864,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463127-B3,top_left,1.0,261,3791,0.8735632183908046,0.33234097229427495,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.12643678160919541
2463127-B3,top_left,2.0,261,3791,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463127-B3,top_left,4.0,261,3791,0.0421455938697318,0.20092123528163822,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9578544061302682
