slide_id,fold_ids,num_folds,status,scale_ratio,n_low,n_high,n_low_sampled,n_high_sampled,nearest_dist_mean,nearest_dist_median,nearest_dist_p10,nearest_dist_p90,nearest_dist_min,nearest_dist_max,coverage_256,coverage_512,coverage_1024
25045625B3,0,1,ok,4.0,154,2225,154,2000,64520.16024147861,66620.79722868421,37879.743561853924,88287.40551711418,22347.471825689812,97604.09848464356,0.0,0.0,0.0
25045625B3,0,1,ok,8.0,154,2225,154,2000,194262.8411697441,193714.7496859003,166293.78685448883,220464.1188994925,153837.28255855275,230022.23826621633,0.0,0.0,0.0
25045676B4,4,1,ok,1.0,245,3477,245,2000,1767.196451085847,1448.1546878700494,1024.0,2896.309375740099,0.0,5514.408762505732,0.0515,0.0515,0.276
25045676B4,4,1,ok,2.0,245,3477,245,2000,5430.938830556273,4111.876092491115,1729.556301483129,11875.247870939153,560.9179975718376,22076.133107951675,0.0,0.0,0.0405
25045676B4,4,1,ok,4.0,245,3477,245,2000,19962.184107030473,17649.778647365427,5298.2163979965935,41030.26387691826,540.3933752369657,55389.90711311944,0.0,0.0,0.006
25045676B4,4,1,ok,8.0,245,3477,245,2000,86572.84153096542,87244.529407074,54983.520095762564,117166.56164494954,29319.27558791315,132920.68601237357,0.0,0.0,0.0
25045801B1,2,1,ok,1.0,109,1546,109,1546,1843.33972821647,2048.0,1024.0,2896.309375740099,0.0,4579.4672179195695,0.0517464424320828,0.0517464424320828,0.2645536869340233
25045801B1,2,1,ok,2.0,109,1546,109,1546,16807.186122440806,16625.161081926395,4608.213809033374,29807.265666409538,417.16783193338387,39754.53580410668,0.0,0.000646830530401035,0.00646830530401035
25045801B1,2,1,ok,4.0,109,1546,109,1546,62517.54220135768,63591.21987394021,46389.05327755599,75796.7622564951,35637.84899513437,84050.40359807917,0.0,0.0,0.0
25045801B1,2,1,ok,8.0,109,1546,109,1546,166639.18314617037,168200.2743675116,144718.85468258715,185781.87300942765,132142.83523899433,196090.49955823968,0.0,0.0,0.0
25045801B2,0,1,ok,1.0,136,1735,136,1735,1806.8637807792657,2048.0,1024.0,2896.309375740099,0.0,5514.408762505732,0.05821325648414986,0.05821325648414986,0.2806916426512968
25045801B2,0,1,ok,2.0,136,1735,136,1735,12046.87765205468,10881.870151770789,2812.772475690133,23169.830328024487,537.1275453744669,29463.18641966615,0.0,0.0,0.016138328530259365
25045801B2,0,1,ok,4.0,136,1735,136,1735,50139.78355607365,51548.58114439232,24058.24905692534,74126.571989577,7310.3560788787845,82065.08607806367,0.0,0.0,0.0
